simTime,stationId,event,aiKey
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
11.0866,1,EnvReady,2333
13.7661,17,EnvReady,2333
15.6706,13,EnvReady,2333
16.6937,13,EnvReady,2333
17.0625,25,EnvReady,2333
18.3368,12,EnvReady,2333
18.5797,17,EnvReady,2333
21.4165,37,EnvReady,2333
21.4961,9,EnvReady,2333
21.6218,9,EnvReady,2333
25.955,4,EnvReady,2333
28.5978,43,EnvReady,2333
28.6485,10,EnvReady,2333
29.777,16,EnvReady,2333
30.4916,8,EnvReady,2333
32.4144,56,EnvReady,2333
38.6182,16,EnvReady,2333
38.7767,39,EnvReady,2333
38.895,77,EnvReady,2333
40.5693,43,EnvReady,2333
40.8571,26,EnvReady,2333
43.4397,34,EnvReady,2333
46.4152,12,EnvReady,2333
47.2217,37,EnvReady,2333
49.3893,85,EnvReady,2333
50.44,24,EnvReady,2333
53.3354,16,EnvReady,2333
55.5539,107,EnvReady,2333
57.147,46,EnvReady,2333
58.7026,103,EnvReady,2333
3,0,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
11.0866,1,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
11.0866,1,EnvReady,2333
13.7661,17,EnvReady,2333
15.6706,13,EnvReady,2333
16.6937,13,EnvReady,2333
17.0625,25,EnvReady,2333
18.3368,12,EnvReady,2333
18.5797,17,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
3,0,EnvReady,2333
4.78062,6,EnvReady,2333
8.25078,10,EnvReady,2333
8.67595,13,EnvReady,2333
11.0866,1,EnvReady,2333
13.7661,17,EnvReady,2333
15.6706,13,EnvReady,2333
16.6937,13,EnvReady,2333
17.0625,25,EnvReady,2333
18.3368,12,EnvReady,2333
18.5797,17,EnvReady,2333
21.4165,37,EnvReady,2333
21.4961,9,EnvReady,2333
21.6218,9,EnvReady,2333
25.955,4,EnvReady,2333
28.5978,43,EnvReady,2333
28.6485,10,EnvReady,2333
29.777,16,EnvReady,2333
30.4916,8,EnvReady,2333
32.4144,56,EnvReady,2333
38.6182,16,EnvReady,2333
38.7767,39,EnvReady,2333
38.895,77,EnvReady,2333
40.5693,43,EnvReady,2333
40.8571,26,EnvReady,2333
43.4397,34,EnvReady,2333
46.4152,12,EnvReady,2333
47.2217,37,EnvReady,2333
49.3893,85,EnvReady,2333
50.44,24,EnvReady,2333
53.3354,16,EnvReady,2333
55.5539,107,EnvReady,2333
57.147,46,EnvReady,2333
58.7026,103,EnvReady,2333
3,14,EnvReady,2333
3.07338,14,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,24,EnvReady,2333
7.70548,41,EnvReady,2333
8.3214,21,EnvReady,2333
8.36904,18,EnvReady,2333
3,14,EnvReady,2333
3.07338,14,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,24,EnvReady,2333
7.70548,41,EnvReady,2333
8.3214,21,EnvReady,2333
8.36904,18,EnvReady,2333
12.1449,72,EnvReady,2333
13.1845,14,EnvReady,2333
15.1473,40,EnvReady,2333
17.305,109,EnvReady,2333
18.6848,32,EnvReady,2333
19.3926,45,EnvReady,2333
19.8365,153,EnvReady,2333
20.1967,24,EnvReady,2333
3,14,EnvReady,2333
3,14,EnvReady,2333
3.07338,14,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,24,EnvReady,2333
3,14,EnvReady,2333
3.07338,14,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,24,EnvReady,2333
3,14,EnvReady,2333
3,14,EnvReady,2333
3,14,EnvReady,2333
3.07338,14,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,24,EnvReady,2333
7.70548,41,EnvReady,2333
8.3214,21,EnvReady,2333
8.36904,18,EnvReady,2333
12.1449,72,EnvReady,2333
13.1845,14,EnvReady,2333
15.1473,40,EnvReady,2333
17.305,109,EnvReady,2333
18.6848,32,EnvReady,2333
19.3926,45,EnvReady,2333
19.8365,153,EnvReady,2333
20.1967,24,EnvReady,2333
21.5713,87,EnvReady,2333
24.3737,41,EnvReady,2333
26.1716,168,EnvReady,2333
28.7166,127,EnvReady,2333
33.1163,86,EnvReady,2333
33.2533,163,EnvReady,2333
33.9502,174,EnvReady,2333
33.9728,89,EnvReady,2333
3,14,EnvReady,2333
3,14,EnvReady,2333
3.07338,16,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,25,EnvReady,2333
7.70548,43,EnvReady,2333
8.3214,22,EnvReady,2333
8.36904,18,EnvReady,2333
12.1449,73,EnvReady,2333
13.1845,15,EnvReady,2333
15.1473,41,EnvReady,2333
17.305,111,EnvReady,2333
18.6848,33,EnvReady,2333
19.3926,46,EnvReady,2333
19.8365,155,EnvReady,2333
20.1967,25,EnvReady,2333
3,14,EnvReady,2333
3.07338,16,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,25,EnvReady,2333
7.70548,43,EnvReady,2333
8.3214,22,EnvReady,2333
8.36904,18,EnvReady,2333
12.1449,73,EnvReady,2333
13.1845,15,EnvReady,2333
15.1473,41,EnvReady,2333
17.305,111,EnvReady,2333
18.6848,33,EnvReady,2333
19.3926,46,EnvReady,2333
19.8365,155,EnvReady,2333
20.1967,25,EnvReady,2333
3,14,EnvReady,2333
3.07338,16,EnvReady,2333
4.98197,37,EnvReady,2333
7.16822,25,EnvReady,2333
7.70548,43,EnvReady,2333
8.3214,22,EnvReady,2333
8.36904,18,EnvReady,2333
12.1449,73,EnvReady,2333
13.1845,15,EnvReady,2333
15.1473,41,EnvReady,2333
